country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Afghanistan,Asia,58847,2582.0,52392,3873,1124.0,1485,65.0,393452.0,9927.0,39636165
Albania,Europe,130409,2372.0,105016,23021,18.0,45356,825.0,619922.0,215607.0,2875238
Algeria,Africa,120736,3198.0,84167,33371,19.0,2714,72.0,230861.0,5189.0,44491487
Andorra,Europe,13024,124.0,12458,442,24.0,168343,1603.0,193595.0,2502327.0,77366
Angola,Africa,25492,577.0,23092,1823,24.0,757,17.0,449666.0,13348.0,33688788
Anguilla,North America,58,,29,29,,3838,,17376.0,1149815.0,15112
Antigua And Barbuda,North America,1227,31.0,1002,194,4.0,12446,314.0,16493.0,167294.0,98587
Argentina,South America,2845872,61474.0,2496277,288121,4858.0,62502,1350.0,10689927.0,234777.0,45532343
Armenia,Asia,213288,4018.0,194080,15190,,71869,1354.0,963225.0,324564.0,2967749
Aruba,North America,10522,98.0,10121,303,14.0,98213,915.0,144565.0,1349372.0,107135
Australia,Australia/Oceania,29661,910.0,26473,2278,,1152,35.0,16574418.0,643922.0,25739779
Austria,Europe,606954,10070.0,570684,26200,507.0,67080,1113.0,30489054.0,3369644.0,9048153
Azerbaijan,Asia,311465,4342.0,276934,30189,,30496,425.0,3178044.0,311166.0,10213348
Bahamas,North America,9976,196.0,9215,565,4.0,25173,495.0,84094.0,212202.0,396293
Bahrain,Asia,170335,620.0,159198,10517,99.0,97385,354.0,3997605.0,2285538.0,1749087
Bangladesh,Asia,742400,10952.0,653151,78297,,4472,66.0,5323579.0,32066.0,166020552
Barbados,North America,3824,44.0,3726,54,,13293,153.0,151482.0,526599.0,287661
Belarus,Europe,351674,2483.0,342102,7089,,37227,263.0,5759533.0,609681.0,9446792
Belgium,Europe,972041,23990.0,825136,122915,901.0,83576,2063.0,12253776.0,1053578.0,11630625
Belize,North America,12599,321.0,12168,110,1.0,31227,796.0,113675.0,281746.0,403466
Benin,Africa,7720,97.0,7510,113,35.0,624,8.0,581843.0,47002.0,12379185
Bermuda,North America,2335,23.0,1636,676,28.0,37607,370.0,233647.0,3763038.0,62090
Bhutan,Asia,1018,1.0,927,90,,1308,1.0,688088.0,883865.0,778499
Bolivia,South America,297185,12812.0,244881,39492,71.0,25181,1086.0,1108146.0,93895.0,11802028
Bosnia And Herzegovina,Europe,194733,8203.0,153408,33122,,59658,2513.0,887506.0,271893.0,3264175
Botswana,Africa,45855,691.0,41338,3826,1.0,19186,289.0,982095.0,410919.0,2389998
Brazil,South America,14308215,389609.0,12766772,1151834,8318.0,66928,1822.0,43538104.0,203652.0,213786534
British Virgin Islands,North America,194,1.0,183,10,,6383,33.0,37158.0,1222544.0,30394
Brunei Darussalam,Asia,223,3.0,210,10,,506,7.0,118338.0,268414.0,440878
Bulgaria,Europe,397100,15859.0,324386,56855,738.0,57503,2296.0,2441727.0,353578.0,6905767
Burkina Faso,Africa,13252,156.0,12907,189,,620,7.0,178354.0,8348.0,21365116
Burundi,Africa,3805,6.0,773,3026,,313,,90019.0,7393.0,12175856
Cabo Verde,Africa,22094,201.0,19109,2784,23.0,39391,358.0,143700.0,256202.0,560885
Cambodia,Asia,9359,71.0,3210,6078,,554,4.0,864685.0,51145.0,16906416
Cameroon,Africa,65998,991.0,57821,7186,385.0,2437,37.0,1257949.0,46455.0,27078842
Canada,North America,1172004,23927.0,1061706,86371,1312.0,30833,629.0,30705297.0,807806.0,38010747
Caribbean Netherlands,North America,1554,15.0,1462,77,,58817,568.0,10025.0,379433.0,26421
Cayman Islands,North America,531,2.0,509,20,,8003,30.0,87503.0,1318849.0,66348
Central African Republic,Africa,6224,85.0,5112,1027,2.0,1271,17.0,40907.0,8352.0,4897703
Chad,Africa,4752,169.0,4384,199,,283,10.0,111158.0,6614.0,16805445
Channel Islands,Europe,4111,86.0,3956,69,1.0,23470,491.0,454413.0,2594229.0,175163
Chile,South America,1162811,25742.0,1092934,44135,3374.0,60408,1337.0,12709327.0,660245.0,19249397
China Hong Kong Sar,Asia,11731,209.0,11340,182,3.0,1555,28.0,11193673.0,1483321.0,7546360
China Macao Sar,Asia,49,,48,1,,75,,4418.0,6730.0,656507
China,Asia,90588,4636.0,85644,308,4.0,63,3.0,160000000.0,111163.0,1439323776
Colombia,South America,2757274,70886.0,2573657,112731,5645.0,53724,1381.0,14317363.0,278967.0,51322788
Comoros,Africa,3829,146.0,3650,33,,4329,165.0,,,884564
Congo,Africa,10084,139.0,8208,1737,,1792,25.0,92500.0,16437.0,5627651
Costa Rica,North America,238760,3143.0,199982,35635,303.0,46525,612.0,932115.0,181633.0,5131869
Cote D Ivoire,Africa,45820,281.0,45343,196,,1703,10.0,573182.0,21304.0,26905163
Croatia,Europe,321372,6815.0,298210,16347,224.0,78679,1668.0,1752201.0,428975.0,4084619
Cuba,North America,100318,581.0,93948,5789,66.0,8861,51.0,3495722.0,308782.0,11320987
Curacao,North America,12087,103.0,10494,1490,22.0,73415,626.0,91244.0,554206.0,164639
Cyprus,Asia,61576,298.0,39061,22217,70.0,50701,245.0,4622694.0,3806262.0,1214497
Czech Republic,Europe,1618076,28946.0,1524100,65030,742.0,150868,2699.0,17010127.0,1586004.0,10725145
Democratic Republic Of The Congo,Africa,29498,756.0,26156,2586,,321,8.0,146905.0,1601.0,91752635
Denmark,Europe,247010,2474.0,235065,9471,40.0,42524,426.0,34911314.0,6010086.0,5808788
Djibouti,Africa,10746,132.0,10261,353,,10750,132.0,146903.0,146956.0,999637
Dominica,North America,173,,171,2,,2398,,14532.0,201467.0,72131
Dominican Republic,North America,263944,3451.0,221294,39199,182.0,24135,316.0,1387700.0,126891.0,10936165
Ecuador,South America,372754,18158.0,309541,45055,638.0,20871,1017.0,1259292.0,70509.0,17859984
Egypt,Africa,221570,12998.0,166457,42115,90.0,2133,125.0,2677262.0,25769.0,103895001
El Salvador,North America,68468,2098.0,64405,1965,33.0,10513,322.0,902426.0,138562.0,6512803
Equatorial Guinea,Africa,7559,107.0,7097,355,5.0,5249,74.0,120652.0,83784.0,1440041
Eritrea,Africa,3605,10.0,3410,185,,1005,3.0,23693.0,6607.0,3586185
Estonia,Europe,120000,1137.0,107298,11565,61.0,90412,857.0,1259354.0,948837.0,1327261
Ethiopia,Africa,250955,3531.0,190013,57411,987.0,2140,30.0,2544095.0,21696.0,117260576
Faeroe Islands,Europe,663,1.0,661,1,,13527,20.0,250438.0,5109520.0,49014
Falkland Islands Malvinas,South America,63,,62,1,,17687,,7202.0,2021898.0,3562
Fiji,Australia/Oceania,87,2.0,65,20,,96,2.0,46423.0,51483.0,901720
Finland,Europe,85607,903.0,46000,38704,31.0,15431,163.0,4380100.0,789531.0,5547723
France,Europe,5473579,102713.0,4321374,1049492,5958.0,83705,1571.0,74165951.0,1134192.0,65391007
French Guiana,South America,18826,98.0,9995,8733,14.0,61740,321.0,208396.0,683436.0,304924
French Polynesia,Australia/Oceania,18734,141.0,4842,13751,4.0,66379,500.0,26355.0,93382.0,282227
Gabon,Africa,22433,138.0,19074,3221,22.0,9891,61.0,710576.0,313289.0,2268117
Gambia,Africa,5857,173.0,5284,400,3.0,2370,70.0,62356.0,25231.0,2471358
Georgia,Asia,303751,4025.0,285971,13755,,76263,1011.0,4059312.0,1019177.0,3982930
Germany,Europe,3286187,82194.0,2893900,310093,5049.0,39120,978.0,54061332.0,643573.0,84001806
Ghana,Africa,91928,777.0,89729,1422,9.0,2909,25.0,1055797.0,33415.0,31596954
Gibraltar,Europe,4283,94.0,4183,6,1.0,127156,2791.0,230363.0,6839147.0,33683
Greece,Europe,331730,9950.0,287222,34558,797.0,31954,958.0,7824968.0,753738.0,10381546
Greenland,North America,31,,31,0,,545,,20669.0,363571.0,56850
Grenada,North America,159,1.0,155,3,,1408,9.0,26331.0,233127.0,112947
Guadeloupe,North America,13669,185.0,2242,11242,23.0,34157,462.0,171662.0,428962.0,400180
Guatemala,North America,221307,7395.0,195802,18110,5.0,12171,407.0,1219088.0,67043.0,18183565
Guinea Bissau,Africa,3724,67.0,3237,420,9.0,1857,33.0,62741.0,31284.0,2005537
Guinea,Africa,21885,140.0,19194,2551,24.0,1631,10.0,425451.0,31703.0,13419855
Guyana,South America,12600,279.0,10702,1619,16.0,15957,353.0,116046.0,146961.0,789637
Haiti,North America,12958,251.0,11945,762,,1125,22.0,60085.0,5218.0,11515210
Holy See,Europe,27,,15,12,,33624,,,,803
Honduras,North America,206381,5100.0,77539,123742,573.0,20572,508.0,604804.0,60287.0,10032126
Hungary,Europe,767190,26420.0,478323,262447,813.0,79581,2741.0,5257377.0,545350.0,9640367
Iceland,Europe,6390,29.0,6227,134,4.0,18627,85.0,585811.0,1707695.0,343042
India,Asia,16960172,192311.0,14085110,2682751,8944.0,12193,138.0,277918810.0,199796.0,1391012516
Indonesia,Asia,1636792,44500.0,1492322,99970,,5933,161.0,14242895.0,51629.0,275869680
Iran,Asia,2377039,69120.0,1863405,444514,5156.0,28010,814.0,15078540.0,177678.0,84864249
Iraq,Asia,1025288,15217.0,897966,112105,509.0,25037,372.0,9076934.0,221652.0,40951234
Ireland,Europe,246204,4872.0,227886,13446,46.0,49414,978.0,4387769.0,880633.0,4982515
Isle Of Man,Europe,1585,29.0,1545,11,1.0,18560,340.0,44761.0,524140.0,85399
Israel,Asia,838006,6350.0,829851,1805,153.0,91111,690.0,14058462.0,1528494.0,9197590
